ICAR_ID;ICAR_DATE_DEBUT;ICAR_DATE_FIN;ICAR_NOM_RUE;ICAR_NOM_RUE_CODELG;ICAR_NOM_RUE_ALT;ICAR_NOM_RUE_CODELGALT;ICAR_INS;ICAR_COMMUNE;ICAR_COMMUNE_CODELG;ICAR_COMMUNE_ALT;ICAR_COMMUNE_CODELGALT;ICAR_VALIDATION
7700001;01/01/1969;;Aux Tiennes;FR;;;25005;Beauvechain;FR;;;N
7700002;01/01/1969;;Avenue des Bouleaux;FR;;;25005;Beauvechain;FR;;;O
7700003;01/01/1969;;Avenue des Cerisiers;FR;;;25005;Beauvechain;FR;;;O
7700004;01/01/1969;;Avenue des Combattants;FR;;;25005;Beauvechain;FR;;;O
7700005;01/01/1969;;Avenue des Pruniers;FR;;;25005;Beauvechain;FR;;;O
7700006;01/01/1969;;Avenue du Centenaire;FR;;;25005;Beauvechain;FR;;;N
7700007;01/01/1969;;Bois Nicaise;FR;;;25005;Beauvechain;FR;;;O
7700008;01/01/1969;;Caserne Force Aérienne;FR;;;25005;Beauvechain;FR;;;N
7700009;01/01/1969;;Chaussée de Louvain;FR;;;25005;Beauvechain;FR;;;N
7700010;01/01/1969;;Chaussée de Namur;FR;;;25005;Beauvechain;FR;;;N
7700011;01/01/1969;;Chemin d'Agbiermont;FR;;;25005;Beauvechain;FR;;;N
7700012;01/01/1969;;Chemin de la Petite Chapelle;FR;;;25005;Beauvechain;FR;;;N
7700013;07/02/1994;;Chemin de la Sciure;FR;;;25005;Beauvechain;FR;;;N
7700014;01/01/1969;;Chemin de la Traverse;FR;;;25005;Beauvechain;FR;;;N
7700015;01/01/1969;;Chemin des Prés;FR;;;25005;Beauvechain;FR;;;N
7700016;25/03/1986;;Chemin des Ramiers;FR;;;25005;Beauvechain;FR;;;N
7700017;01/01/1969;;Chemin des Soeurs;FR;;;25005;Beauvechain;FR;;;N
7700018;25/03/1986;;Chemin du Grand Champ;FR;;;25005;Beauvechain;FR;;;O
7700019;01/01/1969;;Chemin du Petit Brou;FR;;;25005;Beauvechain;FR;;;N
7700020;01/01/1969;;Chemin du Vivier Saint-Laurent;FR;;;25005;Beauvechain;FR;;;N
7700021;01/01/1969;;Chemin Goffin;FR;;;25005;Beauvechain;FR;;;N
7700022;01/01/1969;;Chemin Jacotia;FR;;;25005;Beauvechain;FR;;;N
7700023;01/01/1969;;Chemin Maisin;FR;;;25005;Beauvechain;FR;;;N
7700024;25/03/1986;;Chemin Saint-Roch;FR;;;25005;Beauvechain;FR;;;N
7700025;01/01/1969;;Ferme de l'Espinette;FR;;;25005;Beauvechain;FR;;;N
7700026;01/01/1969;;Ferme Gérardmont;FR;;;25005;Beauvechain;FR;;;N
7700027;25/03/1986;;Impasse de Hamme;FR;;;25005;Beauvechain;FR;;;N
7700028;01/01/1969;;La Valduc;FR;;;25005;Beauvechain;FR;;;N
7700029;01/01/1969;;La Verte Voie;FR;;;25005;Beauvechain;FR;;;N
7700030;01/01/1969;;Le Petit Champ;FR;;;25005;Beauvechain;FR;;;N
7700031;01/01/1969;;Place Communale;FR;;;25005;Beauvechain;FR;;;O
7700032;25/03/1986;;Place de la Bruyère;FR;;;25005;Beauvechain;FR;;;N
7700033;01/01/1969;;Place du Moulin;FR;;;25005;Beauvechain;FR;;;N
7700034;25/03/1986;;Place Saint-Martin;FR;;;25005;Beauvechain;FR;;;N
7700035;01/01/1969;;Rond-Point Saint-Martin;FR;;;25005;Beauvechain;FR;;;N
7700036;01/01/1969;;Rue Albert-Edouard Janssen;FR;;;25005;Beauvechain;FR;;;N
7700037;01/01/1969;;Rue Alfred Scheers;FR;;;25005;Beauvechain;FR;;;N
7700038;01/01/1969;;Rue Auguste Goemans;FR;;;25005;Beauvechain;FR;;;N
7700039;01/01/1969;;Rue Baron Emmanuel Descamps;FR;;;25005;Beauvechain;FR;;;N
7700040;01/01/1969;;Rue Basse Collin;FR;;;25005;Beauvechain;FR;;;N
7700041;01/01/1969;;Rue Berward;FR;;;25005;Beauvechain;FR;;;N
7700042;01/01/1969;;Rue Bogaerts;FR;;;25005;Beauvechain;FR;;;N
7700043;01/01/1969;;Rue Champ d'Oiseaux;FR;;;25005;Beauvechain;FR;;;N
7700044;01/01/1969;;Rue Condorcet;FR;;;25005;Beauvechain;FR;;;N
7700045;01/01/1969;;Rue de Beauvechain;FR;;;25005;Beauvechain;FR;;;N
7700046;01/01/1969;;Rue de Bierbeek;FR;;;25005;Beauvechain;FR;;;N
7700047;01/01/1969;;Rue de Gaët;FR;;;25005;Beauvechain;FR;;;O
7700048;01/01/1969;;Rue de Guertechin;FR;;;25005;Beauvechain;FR;;;N
7700049;25/03/1986;;Rue de la Bruyère Saint-Martin;FR;;;25005;Beauvechain;FR;;;N
7700050;01/01/1969;;Rue de la Cabine;FR;;;25005;Beauvechain;FR;;;N
7700051;01/01/1969;;Rue de la Cabourse;FR;;;25005;Beauvechain;FR;;;O
7700052;01/01/1969;;Rue de la Chaussée;FR;;;25005;Beauvechain;FR;;;N
7700053;01/01/1969;;Rue de la Comtesse Alpayde;FR;;;25005;Beauvechain;FR;;;N
7700054;25/03/1986;;Rue de la Cure;FR;;;25005;Beauvechain;FR;;;N
7700055;01/01/1969;;Rue de la Forêt de Meerdael;FR;;;25005;Beauvechain;FR;;;N
7700056;01/01/1969;;Rue de la Gare;FR;;;25005;Beauvechain;FR;;;N
7700057;01/01/1969;;Rue de la Gloriette;FR;;;25005;Beauvechain;FR;;;N
7700058;01/01/1969;;Rue de la Justice;FR;;;25005;Beauvechain;FR;;;N
7700059;25/03/1986;;Rue de la Liberté;FR;;;25005;Beauvechain;FR;;;N
7700060;25/03/1986;;Rue de la Néthen;FR;;;25005;Beauvechain;FR;;;N
7700061;01/01/1969;;Rue de la Source;FR;;;25005;Beauvechain;FR;;;N
7700062;01/01/1969;;Rue de la Station;FR;;;25005;Beauvechain;FR;;;N
7700063;01/01/1969;;Rue de la Teinturerie;FR;;;25005;Beauvechain;FR;;;N
7700064;07/02/1994;;Rue de la Tourette;FR;;;25005;Beauvechain;FR;;;O
7700065;01/01/1969;;Rue de l'Ecluse;FR;;;25005;Beauvechain;FR;;;N
7700066;25/03/1986;;Rue de l'Ecole;FR;;;25005;Beauvechain;FR;;;N
7700067;25/03/1986;;Rue de l'Eglise Saint-Sulpice;FR;;;25005;Beauvechain;FR;;;N
7700068;25/03/1986;;Rue de l'Etang;FR;;;25005;Beauvechain;FR;;;N
7700069;01/01/1969;;Rue de Louvain;FR;;;25005;Beauvechain;FR;;;N
7700070;01/01/1969;;Rue de Marothon;FR;;;25005;Beauvechain;FR;;;N
7700071;01/01/1969;;Rue de Mélin;FR;;;25005;Beauvechain;FR;;;N
7700072;01/01/1969;;Rue de Mille;FR;;;25005;Beauvechain;FR;;;N
7700073;07/02/1994;;Rue de Mollendael;FR;;;25005;Beauvechain;FR;;;N
7700074;25/03/1986;;Rue de Plancy;FR;;;25005;Beauvechain;FR;;;N
7700075;25/03/1986;;Rue de Pymont;FR;;;25005;Beauvechain;FR;;;N
7700076;01/01/1969;;Rue de Schoor;FR;;;25005;Beauvechain;FR;;;O
7700077;01/01/1969;;Rue de Sclimpré;FR;;;25005;Beauvechain;FR;;;O
7700078;01/01/1969;;Rue de Tourinnes;FR;;;25005;Beauvechain;FR;;;N
7700079;01/01/1969;;Rue de Valduc;FR;;;25005;Beauvechain;FR;;;N
7700080;01/01/1969;;Rue de Wahenge;FR;;;25005;Beauvechain;FR;;;N
7700081;01/01/1969;;Rue de Wavre;FR;;;25005;Beauvechain;FR;;;N
7700082;01/01/1969;;Rue Decoster;FR;;;25005;Beauvechain;FR;;;N
7700083;01/01/1969;;Rue Delahaye;FR;;;25005;Beauvechain;FR;;;N
7700084;01/01/1969;;Rue Delherse;FR;;;25005;Beauvechain;FR;;;N
7700085;01/01/1969;;Rue Deprez;FR;;;25005;Beauvechain;FR;;;N
7700086;01/01/1969;;Rue des Acacias;FR;;;25005;Beauvechain;FR;;;N
7700087;07/02/1994;;Rue des Alouettes;FR;;;25005;Beauvechain;FR;;;O
7700088;01/01/1969;;Rue des Anges;FR;;;25005;Beauvechain;FR;;;N
7700089;01/01/1969;;Rue des Brasseries;FR;;;25005;Beauvechain;FR;;;N
7700090;01/01/1969;;Rue des Bruyères;FR;;;25005;Beauvechain;FR;;;N
7700091;07/02/1994;;Rue des Burettes;FR;;;25005;Beauvechain;FR;;;O
7700092;01/01/1969;;Rue des Frênes;FR;;;25005;Beauvechain;FR;;;N
7700093;01/01/1969;;Rue des Merisiers;FR;;;25005;Beauvechain;FR;;;N
7700094;01/01/1969;;Rue des Messes;FR;;;25005;Beauvechain;FR;;;N
7700095;07/02/1994;;Rue des Ormes;FR;;;25005;Beauvechain;FR;;;N
7700096;01/01/1969;;Rue des Salamandres;FR;;;25005;Beauvechain;FR;;;N
7700097;07/02/1994;;Rue des Trois Héros;FR;;;25005;Beauvechain;FR;;;O
7700098;01/01/1969;;Rue des Vallées;FR;;;25005;Beauvechain;FR;;;N
7700099;01/01/1969;;Rue Dewarichet;FR;;;25005;Beauvechain;FR;;;N
7700100;01/01/1969;;Rue d'Hougaerde;FR;;;25005;Beauvechain;FR;;;O
7700101;01/01/1969;;Rue Draye;FR;;;25005;Beauvechain;FR;;;N
7700102;01/01/1969;;Rue du Bois du Curé;FR;;;25005;Beauvechain;FR;;;N
7700103;01/01/1969;;Rue du Broux;FR;;;25005;Beauvechain;FR;;;N
7700104;01/01/1969;;Rue du Brugeron;FR;;;25005;Beauvechain;FR;;;N
7700105;07/02/1994;;Rue du Chabut;FR;;;25005;Beauvechain;FR;;;N
7700106;01/01/1969;;Rue du Champ de la Planche;FR;;;25005;Beauvechain;FR;;;N
